Took Ride in AV (Rider vs. Non-rider),SurveyLatitude,Survey Longitude,Dropoff Location,About how long in minutes did your trip take? - Trip time in minutes (choose max duration if more than 60 minutes),About what time of day was the trip?,"What was the primary purpose of the trip?
(e.g. work, school, leisure, etc.) - Selected Choice","What was the primary purpose of the trip?
(e.g. work, school, leisure, etc.) - Other: - Text",Would you have made this trip otherwise? And if so how would you have made it?,What are the top 3 factors that made you choose a Cruise autonomous vehicle over alternative options? - Selected Choice,What are the top 3 factors that made you choose a Cruise autonomous vehicle over alternative options? - Other: - Text,Does Cruise’s service change your ability to travel during overnight / late night hours? - Selected Choice,Does Cruise’s service change your ability to travel during overnight / late night hours? - Other: - Text,What is the max amount that you think you might have paid for the trip if it wasn’t free?,What could have improved your experience?,Have your views on autonomous vehicles changed since participating in the research rider program? - Selected Choice,Have your views on autonomous vehicles changed since participating in the research rider program? - Other: - Text,Now having participated in the research rider study what are your views on the importance of accessibility for autonomous vehicles?,Now having participated in the research rider study what are your views on the importance of geographic coverage for autonomous vehicles?,Now having participated in the research rider study what are your views on the importance of zero-emission vehicles?,Now having participated in the research rider study what are your views on the importance of transit connectivity for autonomous vehicles?,What are your feelings on sharing the kind of ride you had with another passenger?,To start what attracted you to this project? - Selected Choice,To start what attracted you to this project? - Other: - Text,What prevented you from riding a Cruise vehicle? - Selected Choice,What prevented you from riding a Cruise vehicle? - Other: - Text,What would have encouraged you to participate and take rides? - Selected Choice,What would have encouraged you to participate and take rides? - Other: - Text,Is there anything else you would like to tell us or other feedback you would like to provide?
Rider,37.7906,-122.2412,"{""0"":{""lat"":37.77992235622697,""lng"":-122.46307831914064},""1"":{""lat"":37.78840644594173,""lng"":-122.44692789913353}}",14,12:30 - 1:29 am,Social/recreation,8,"Yes, Public Transit (Bus, Train, etc.)","Safer alternative,More comfortable     ,Free ride",8,Yes,8,$3-4,I tried to take the same trip next day and the app was charging soo much money,Yes,8,Somewhat important,Very important,Very important,Somewhat important,"Not cost effective, a 6 minute drive that should only be 3, due to use of unnecessary long routes.",,,,,,,Make it free to try until the routing systems are in check. I am not paying the same price as an Uber for a longer/ more convoluted ride.
Rider,37.78,-122.465,"{""0"":{""lat"":37.780566814216954,""lng"":-122.46314269215699},""1"":{""lat"":37.78983950107942,""lng"":-122.45617009648715}}",10,10:30 - 11:29 pm,Social/recreation,8,"Yes, Public Transit (Bus, Train, etc.)","More mobile app integration (other services / transit apps),Fastest way to get there,Safer alternative",8,Yes,Less fear of travel at night,$6-7,"The vehicle did pull to the side and reroute a few times, a weird route choice.",Yes,"I now see that the technology is much further ahead than I remember, I feel safer using AVs than I did before.",Somewhat important,Very important,Very important,Very important,If I know the other passenger then that sounds like a lovely idea. If it was someone I didn’t know I would feel uncomfortable because of safety.,,,,,,,This is an excellent service especially for after-hours safety for transit. I hope that passenger nighttime safety will be marketed as a more significant focus in the future.
Rider,37.7506,-122.4121,"{""1"":{""lat"":37.7798713,""lng"":-122.4317172}}",7,11:30 - 12:29 am,Social/recreation,8,"Yes, Walk","More sustainable alternative,Novel technology,Fun",8,No,8,$4-5,I had to pay even though I am signed up as a beta user through TestFlight,Yes,Super safe and efficient,Very important,Very important,Very important,Somewhat important,Probably wouldn’t want to share unless I know them,,,,,,,The cruise vehicle drove past our desired destination so we manually ended the ride by clicking the button in the car. A live support person was on call and talked us through ending the ride and exiting the vehicle. It was helpful
